2026/04/21 20:09:23 🔒 安全配置: 连接限制=10/s, 消息限制=20/s, 聊天限制=1/s, 最大连接数=10000
2026/04/21 20:09:23 🎮 斗地主服务器启动中...
2026/04/21 20:09:23 🚀 服务器启动在 ws://0.0.0.0:1780/ws (CPU核心数: 8)
2026/04/21 21:32:45 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:33:13 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:33:42 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:34:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:34:39 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:35:07 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:35:36 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:36:04 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:36:33 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:37:01 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:37:31 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:37:59 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:38:28 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:38:56 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:39:25 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:39:53 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:40:22 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:40:50 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:41:18 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:41:49 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:42:17 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:42:46 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:43:15 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
